title,prefecture,review_count,checkin_month,checkin_day,checkout_month,checkout_day,restaurant,pool,airport_shuttle,beach,parking,24-hour_front_desk,laundry,garden,heating,daily_housekeeping,facilities_for_disabled_guests,family_rooms,tea/coffee_maker_in_all_rooms,bar,spa,fitness_center,room_service,baggage_storage,air_conditioning,terrace,hot_spring_bath,elevator,designated_smoking_area,skiing,price
Super Hotel Kitami,Hokkaido,135.0,11,3,11,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23067.0
APA Hotel Chiba Yachiyo Midorigaoka,Chiba,853.0,11,3,11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25793.0
APA Hotel Uozu Ekimae,Toyama,594.0,12,1,12,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24848.0
Hotel Intergate Hiroshima,Hiroshima,3102.0,12,1,12,6,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,33807.0
Toyoko Inn Koriyama,Fukushima,196.0,11,3,11,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18986.0
Hotel Collective,Okinawa,1711.0,11,17,11,22,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,66309.0
Sotetsu Fresa Inn Kobe Sannomiya,Hyogo,2531.0,12,1,12,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29922.0
Hotel SAILS Asakusa,Tokyo,437.0,11,3,11,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,56736.0
Toyoko Inn Kawasaki Ekimae Shiyakusho-dori,Kanagawa,1309.0,11,3,11,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24702.0
SEKIYA RESORT Galleria Midobaru,Oita,916.0,12,8,12,13,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,102387.0
Winery Hotel and Condominium HITOHANA,Hokkaido,719.0,11,3,11,8,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,30762.0
Hotel Wing International Select Hakata-Ekimae,Fukuoka,2994.0,12,8,12,13,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29432.0
MORIYA iriomote HOTEL,Okinawa,56.0,11,3,11,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42675.0
クラフトホテル瀬戸内,Kagawa,44.0,11,3,11,8,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,35433.0
Kawamotoya,Nagano,133.0,11,3,11,8,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,41627.0
Ueda Tokyu REI Hotel,Nagano,835.0,11,3,11,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27057.0
Mitsui Garden Hotel Shiodome Italia-gai - Tokyo,Tokyo,5018.0,11,3,11,8,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,62066.0
Red Roof Inn & Suites Osaka Namba Nipponbashi,Osaka,1007.0,12,8,12,13,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,32050.0
Hotel Nikko Kansai Airport - 3 mins walk to the airport,Osaka,9591.0,11,3,11,8,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,41219.0
Onyado Nono Sendai Natural Hot Spring,Miyagi,1938.0,11,3,11,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32852.0
Hotel Laforet Nasu,Tochigi,876.0,12,8,12,13,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30797.0
fav HAKODATE,Hokkaido,1322.0,11,3,11,8,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,41523.0
